Symbol,Company Name,Quantity,Average Cost,Current Price,Sector
RELIANCE,Reliance Industries Ltd,50,2450.00,0,Energy
TCS,Tata Consultancy Services,30,3200.00,0,Information Technology
HDFCBANK,HDFC Bank Ltd,40,1580.00,0,Financial Services
INFY,Infosys Ltd,60,1450.00,0,Information Technology
ICICIBANK,ICICI Bank Ltd,75,920.00,0,Financial Services
WIPRO,Wipro Ltd,100,420.00,0,Information Technology
AXISBANK,Axis Bank Ltd,80,980.00,0,Financial Services
TATAMOTORS,Tata Motors Ltd,60,750.00,0,Automobile
SUNPHARMA,Sun Pharmaceutical Industries,45,1200.00,0,Healthcare
BAJFINANCE,Bajaj Finance Ltd,15,6800.00,0,Financial Services
