symbol,company,qty,avg_cost
LT,Larsen & Toubro,35,3717.49
TITAN,Titan Company,281,3654.51
BHARTIARTL,Bharti Airtel,237,1279.53
AXISBANK,Axis Bank,1017,1003.82
ASIANPAINT,Asian Paints,71,3325.08
SBIN,State Bank,873,703.38
RELIANCE,Reliance Industries,379,2303.3
HINDUNILVR,Hindustan Unilever,358,2816.49
ITC,ITC Ltd,211,463.47
ICICIBANK,ICICI Bank,1055,949.36
INFY,Infosys,421,1668.17
MARUTI,Maruti Suzuki,79,11189.81
KOTAKBANK,Kotak Bank,517,2005.08
TCS,Tata Consultancy,159,3844.22
HDFCBANK,HDFC Bank,246,1835.04
